total polar surface area,number of hydrogen bond acceptor,number of hydrogen bond donor,number of n atoms,TPSA
NA,12,7,1,202.31999999999996
NA,2,1,1,42.24
NA,1,0,0,17.07
NA,0,0,0,0.0
NA,1,0,0,0.0
NA,2,0,1,12.89
NA,0,0,0,0.0
NA,2,2,0,40.46
NA,1,0,0,12.53
NA,6,0,0,63.22
NA,1,1,1,29.1
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,2,2,2,58.2
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,1,0,1,23.79
NA,6,0,2,53.47
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,3,1,2,54.86
NA,5,0,0,18.46
NA,2,1,1,38.33
NA,6,1,4,115.54000000000002
NA,1,1,0,20.23
NA,5,1,4,72.68
NA,3,2,2,75.27000000000001
NA,0,0,0,0.0
NA,2,0,0,26.3
NA,0,0,0,0.0
NA,5,0,0,18.46
NA,4,2,2,76.66
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,0,0,17.07
NA,1,1,1,12.03
NA,3,0,1,29.540000000000003
NA,5,0,1,38.77
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,3,2,2,75.27
NA,1,1,0,20.23
NA,2,0,0,26.3
NA,1,1,0,20.23
NA,1,1,1,29.1
NA,4,1,3,60.910000000000004
NA,7,1,2,107.77
NA,1,0,1,12.89
NA,0,0,0,0.0
NA,3,2,2,75.27000000000001
NA,0,0,0,0.0
NA,3,1,2,54.86
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,0,0,17.07
NA,0,0,0,0.0
NA,2,0,0,26.3
NA,6,4,0,115.06000000000002
NA,2,2,1,46.25
NA,5,1,4,90.06
NA,3,1,0,54.37
NA,5,1,5,53.940000000000005
NA,3,1,3,68.87
NA,2,2,2,72.19
NA,0,0,0,0.0
NA,6,1,4,118.04999999999998
NA,3,0,1,52.37
NA,1,0,0,17.07
NA,3,2,2,75.27000000000001
NA,2,0,0,26.3
NA,2,0,0,26.3
NA,4,1,2,75.71
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,5,0,3,49.17
NA,6,0,1,55.84
NA,4,0,4,51.56
NA,1,2,2,52.04
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,5,0,1,68.55000000000001
NA,2,0,1,43.14
NA,1,0,0,17.07
NA,3,1,3,45.230000000000004
NA,2,0,1,43.14
NA,3,2,2,58.2
NA,0,0,0,0.0
NA,1,0,0,9.23
NA,0,0,0,0.0
NA,2,2,0,40.46
NA,2,0,2,47.58
NA,0,0,0,0.0
NA,1,0,0,12.53
NA,0,0,0,0.0
NA,3,1,0,54.370000000000005
NA,2,0,2,25.78
NA,5,4,0,90.15
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,2,0,0,26.3
NA,3,1,1,63.37
NA,2,2,2,65.72
NA,0,0,0,0.0
NA,9,4,4,133.75
NA,2,1,1,44.019999999999996
NA,4,2,2,92.47
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,1,1,1,26.02
NA,5,1,4,72.68
NA,1,0,1,12.89
NA,5,0,1,38.77
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,3,1,1,63.37
NA,0,0,0,0.0
NA,6,0,0,78.9
NA,4,1,3,49.25000000000001
NA,4,0,1,59.32000000000001
NA,1,0,1,12.89
NA,0,0,0,0.0
NA,1,0,1,12.89
NA,5,3,0,94.83
NA,3,1,1,38.33
NA,4,0,0,52.60000000000001
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,3,2,2,75.27
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,0,1,12.89
NA,0,0,0,0.0
NA,1,1,1,26.02
NA,0,0,0,0.0
NA,5,1,4,71.79
NA,1,1,0,20.23
NA,3,2,2,75.27000000000001
NA,1,0,0,17.07
NA,2,2,2,65.72
NA,8,4,4,126.65
NA,2,2,0,40.46
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,2,0,0,26.3
NA,1,1,0,20.23
NA,1,1,1,43.09
NA,4,0,0,27.69
NA,0,0,0,0.0
NA,6,1,4,73.8
NA,4,0,0,44.760000000000005
NA,1,0,0,17.07
NA,3,1,1,52.32
NA,4,1,3,68.45
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,4,1,2,75.71
NA,2,0,1,43.14
NA,5,0,3,89.51999999999998
NA,0,0,0,0.0
NA,4,2,2,104.63999999999999
NA,2,1,0,37.3
NA,0,0,0,0.0
NA,4,2,1,83.47
NA,4,1,2,75.71
NA,1,0,0,17.07
NA,3,2,2,75.27000000000001
NA,1,0,0,17.07
NA,2,1,1,46.17
NA,0,0,0,0.0
NA,3,0,0,27.69
NA,3,0,2,34.89
NA,1,0,1,23.79
NA,3,0,0,18.46
NA,2,1,0,37.3
NA,2,0,2,25.78
NA,0,0,0,0.0
NA,3,1,0,38.69
NA,2,2,1,46.25
NA,2,0,0,26.3
NA,4,0,1,55.84
NA,3,1,1,47.56
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,5,0,2,57.26
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,0,0,9.23
NA,4,2,2,86.18
NA,2,2,2,38.05
NA,0,0,0,0.0
NA,6,0,2,63.839999999999996
NA,5,1,1,56.790000000000006
NA,1,0,0,17.07
NA,3,2,4,74.43
NA,2,1,1,33.120000000000005
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,2,0,0,26.3
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,0,0,9.23
NA,4,0,0,52.60000000000001
NA,0,0,0,0.0
NA,1,0,1,12.89
NA,1,0,0,17.07
NA,5,0,0,18.46
NA,13,3,0,160.83
NA,0,0,0,0.0
NA,4,0,2,86.28
NA,0,0,0,0.0
NA,3,1,3,53.93
NA,5,0,4,60.790000000000006
NA,4,1,4,58.120000000000005
NA,7,0,3,58.4
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,5,0,0,27.69
NA,1,1,0,20.23
NA,3,2,2,75.27000000000001
NA,2,1,0,37.3
NA,6,6,0,121.38000000000001
NA,0,0,0,0.0
NA,5,2,5,62.730000000000004
NA,1,2,2,38.05
NA,1,0,0,17.07
NA,1,0,0,17.07
NA,1,1,0,20.23
NA,1,0,0,17.07
NA,1,1,1,26.02
NA,1,0,1,23.79
NA,4,1,3,46.92
NA,1,0,0,17.07
NA,5,1,5,53.940000000000005
NA,3,1,1,52.32
NA,0,0,0,0.0
NA,4,0,4,43.07
NA,2,2,0,40.46
NA,4,0,4,49.330000000000005
NA,1,0,0,0.0
NA,0,0,0,0.0
NA,2,1,1,52.32
NA,4,0,0,60.440000000000005
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,1,1,1,12.03
NA,2,2,2,58.2
NA,0,0,0,0.0
NA,6,0,1,55.84
NA,2,0,0,18.46
NA,2,2,2,58.2
NA,4,1,2,75.71
NA,1,1,2,32.34
NA,4,1,3,50.94
NA,8,2,0,127.20000000000002
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,0,0,17.07
NA,2,0,1,20.310000000000002
NA,1,0,0,9.23
NA,4,0,1,59.32000000000001
NA,3,2,2,75.27000000000001
NA,6,0,1,70.83000000000001
NA,0,0,0,0.0
NA,6,6,0,121.38000000000001
NA,1,1,0,0.0
NA,0,0,0,0.0
NA,4,0,3,47.36000000000001
NA,2,2,1,63.32000000000001
NA,2,0,1,43.14
NA,3,2,2,75.27000000000001
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,3,2,2,75.27000000000001
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,4,1,3,54.46
NA,0,0,0,0.0
NA,4,0,0,52.60000000000001
NA,2,1,0,29.46
NA,5,0,1,65.07000000000001
NA,2,1,0,37.3
NA,8,1,4,127.79
NA,3,0,1,52.37
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,16,11,0,268.67999999999995
NA,0,0,0,0.0
NA,3,0,3,36.44
NA,0,0,0,0.0
NA,3,2,2,86.18
NA,5,0,3,89.51999999999998
NA,0,0,0,0.0
NA,5,1,1,56.790000000000006
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,2,0,1,43.14
NA,1,1,0,20.23
NA,2,1,0,37.3
NA,2,2,2,64.35
NA,0,0,0,0.0
NA,2,0,2,25.78
NA,1,0,0,9.23
NA,1,0,0,9.23
NA,1,1,0,20.23
NA,2,2,2,65.72
NA,4,2,5,80.47999999999999
NA,0,0,0,0.0
NA,4,1,2,55.24
NA,0,0,0,0.0
NA,1,2,2,41.13
NA,3,2,2,75.27000000000001
NA,0,0,0,0.0
NA,1,1,2,32.34
NA,4,0,3,46.09
NA,1,1,0,20.23
NA,2,0,0,26.3
NA,6,0,3,129.42000000000002
NA,6,1,1,64.63
NA,0,0,0,0.0
NA,2,0,0,26.3
NA,0,0,0,0.0
NA,1,1,1,26.02
NA,0,0,0,0.0
NA,1,0,0,13.14
NA,5,0,0,61.830000000000005
NA,1,1,2,32.34
NA,1,0,1,12.89
NA,5,2,0,91.67
NA,6,5,0,110.38000000000001
NA,1,1,0,20.23
NA,4,2,3,92.5
NA,5,1,0,72.83
NA,4,0,2,86.28
NA,3,2,2,75.27000000000001
NA,2,0,0,26.3
NA,1,1,2,32.34
NA,1,0,0,9.23
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,2,2,0,40.46
NA,8,0,0,71.06
NA,0,0,0,0.0
NA,1,0,0,17.07
NA,2,1,2,41.57
NA,0,0,0,0.0
NA,2,0,0,26.3
NA,5,1,4,80.37
NA,1,1,1,29.1
NA,2,0,1,29.54
NA,0,0,0,0.0
NA,5,3,0,94.83
NA,2,0,2,25.78
NA,2,0,1,43.14
NA,2,0,0,26.3
NA,2,0,1,43.14
NA,1,1,2,32.34
NA,5,1,4,69.56
NA,2,0,1,43.14
NA,0,0,0,0.0
NA,4,2,3,92.5
NA,5,2,1,91.00999999999999
NA,2,0,1,29.54
NA,1,1,0,20.23
NA,2,0,0,26.3
NA,1,1,1,29.1
NA,7,3,7,129.62
NA,2,0,0,26.3
NA,6,3,0,88.38000000000001
NA,2,0,3,27.96
NA,6,2,5,71.96000000000001
NA,0,0,0,0.0
NA,1,1,1,26.02
NA,3,1,2,38.91
NA,2,1,1,38.33
NA,1,1,0,20.23
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,3,1,2,41.57
NA,1,1,0,20.23
NA,1,1,2,32.34
NA,1,0,0,17.07
NA,2,1,1,44.019999999999996
NA,0,0,0,0.0
NA,4,0,2,42.43000000000001
NA,2,1,1,33.120000000000005
NA,3,1,1,38.33
NA,5,1,2,82.28
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,3,1,2,66.48
NA,4,0,0,60.440000000000005
NA,1,2,2,55.120000000000005
NA,1,1,2,32.34
NA,2,1,2,41.57
NA,1,1,0,20.23
NA,5,3,1,103.70000000000002
NA,3,2,2,58.2
NA,6,2,4,115.03999999999999
NA,3,1,1,63.37
NA,0,0,0,0.0
NA,1,0,0,9.23
NA,3,1,2,69.16
NA,0,0,0,0.0
NA,2,0,2,40.620000000000005
NA,4,0,2,86.28
NA,2,0,0,34.14
NA,5,0,5,45.150000000000006
NA,3,0,1,37.38
NA,0,0,0,0.0
NA,3,2,2,61.690000000000005
NA,3,2,2,75.27000000000001
NA,1,1,0,20.23
NA,3,1,1,29.1
NA,7,5,0,131.35999999999999
NA,1,0,0,17.07
NA,4,0,2,6.48
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,0,2,15.6
NA,2,1,0,37.3
NA,1,1,0,20.23
NA,1,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,3,1,2,69.16
NA,11,8,0,189.52999999999997
NA,4,0,4,49.330000000000005
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,3,4,4,113.32
NA,6,3,2,91.67999999999999
NA,0,0,0,0.0
NA,3,0,0,43.370000000000005
NA,0,0,0,0.0
NA,2,0,2,23.55
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,4,0,2,44.12
NA,1,1,0,20.23
NA,4,0,1,59.32000000000001
NA,2,0,1,26.03
NA,1,1,0,20.23
NA,1,0,1,3.24
NA,0,0,0,0.0
NA,1,0,1,23.79
NA,0,0,0,0.0
NA,3,2,2,75.27000000000001
NA,0,0,0,0.0
NA,2,1,3,41.57
NA,3,1,1,47.56
NA,1,1,0,20.23
NA,1,1,0,20.23
NA,1,1,0,20.23
NA,2,0,0,26.3
NA,6,0,1,70.83000000000001
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,5,0,4,58.56000000000001
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,2,0,0,26.3
NA,2,0,1,29.54
NA,5,1,2,88.87
NA,5,1,2,71.35
NA,3,2,4,67.59
NA,0,0,0,0.0
NA,4,1,0,55.760000000000005
NA,7,0,1,53.6
NA,1,1,0,20.23
NA,3,1,0,50.44
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,6,0,3,129.42000000000002
NA,4,0,3,75.81
NA,0,0,0,0.0
NA,5,2,5,95.10999999999999
NA,2,1,2,38.91
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,6,0,1,55.84
NA,0,0,0,0.0
NA,5,0,2,57.14
NA,1,1,0,20.23
NA,2,1,1,38.33
NA,1,0,0,9.23
NA,0,0,0,0.0
NA,5,0,4,60.790000000000006
NA,1,1,0,20.23
NA,0,0,0,0.0
NA,4,1,2,75.71
NA,6,4,3,132.11999999999998
NA,0,1,1,15.79
NA,5,0,4,60.790000000000006
NA,4,1,1,56.790000000000006
NA,2,2,3,61.440000000000005
NA,1,0,1,23.79
NA,4,1,1,56.790000000000006
NA,5,1,3,89.43
NA,0,0,0,0.0
NA,1,1,0,20.23
NA,1,2,2,41.13
NA,0,0,0,0.0
NA,2,0,0,30.21
NA,1,1,0,20.23
NA,3,0,0,35.53
NA,0,0,0,0.0
NA,1,0,0,17.07
NA,0,0,0,0.0
NA,7,0,2,68.31
NA,3,0,2,42.43
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,4,4,4,122.05999999999999
NA,3,1,0,46.53
NA,1,0,0,9.23
NA,3,0,0,43.370000000000005
NA,7,5,0,119.61000000000001
NA,0,0,0,0.0
NA,6,2,5,62.730000000000004
NA,1,1,0,20.23
NA,3,1,0,54.37
NA,1,1,0,20.23
NA,2,1,0,37.3
NA,1,1,0,20.23
NA,2,0,1,43.14
NA,4,1,3,52.95
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,6,2,5,62.730000000000004
NA,1,1,0,20.23
NA,4,0,4,51.56
NA,3,1,1,46.260000000000005
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,14,6,0,203.05999999999997
NA,0,0,0,0.0
NA,4,0,0,52.60000000000001
NA,1,0,0,0.0
NA,0,0,0,0.0
NA,0,0,0,0.0
NA,4,1,0,67.50999999999999
NA,2,2,0,40.46
NA,4,0,0,52.60000000000001
